sequence,name,nation,portrait,house_mask
1,Leonidas I,Sparta,100_Leonidas_I_00001_.png,100_Leonidas_I_00001__house_mask.png
2,Damaratos,Sparta,200_Damaratos_00001_.png,200_Damaratos_00001__house_mask.png
3,Dilios,Sparta,300_Dilios_00001_.png,300_Dilios_00001__house_mask.png
4,Diocenes,Sparta,400_Diocenes_00001_.png,400_Diocenes_00001__house_mask.png
5,Pausanias,Sparta,500_Pausanias_00001_.png,500_Pausanias_00001__house_mask.png
6,Periander,Sparta,600_Periander_00001_.png,600_Periander_00001__house_mask.png
7,Chilon,Sparta,700_Chilon_00001_.png,700_Chilon_00001__house_mask.png
8,Hiparco,Sparta,800_Hiparco_00001_.png,800_Hiparco_00001__house_mask.png
9,Theron,Sparta,900_Theron_00001_.png,900_Theron_00001__house_mask.png
10,Gorgo,Sparta,100_Gorgo_00001_.png,100_Gorgo_00001__house_mask.png
11,Milciades,Athens,110_Milciades_00001_.png,110_Milciades_00001__house_mask.png
12,Pericles,Athens,120_Pericles_00001_.png,120_Pericles_00001__house_mask.png
13,Leontiades,Athens,130_Leontiades_00001_.png,130_Leontiades_00001__house_mask.png
14,Temistocles,Athens,140_Temistocles_00001_.png,140_Temistocles_00001__house_mask.png
15,Cimon,Athens,150_Cimon_00001_.png,150_Cimon_00001__house_mask.png
16,Solon,Athens,160_Solon_00001_.png,160_Solon_00001__house_mask.png
17,Cleon,Athens,170_Cleon_00001_.png,170_Cleon_00001__house_mask.png
18,Demosthenes,Athens,180_Demosthenes_00001_.png,180_Demosthenes_00001__house_mask.png
19,Herophile,Athens,190_Herophile_00001_.png,190_Herophile_00001__house_mask.png
20,Dafne,Athens,200_Dafne_00001_.png,200_Dafne_00001__house_mask.png
21,Xerxes,Persia,210_Xerxes_00001_.png,210_Xerxes_00001__house_mask.png
22,Datis,Persia,220_Datis_00001_.png,220_Datis_00001__house_mask.png
23,Megabyzus,Persia,230_Megabyzus_00001_.png,230_Megabyzus_00001__house_mask.png
24,Mardonio,Persia,240_Mardonio_00001_.png,240_Mardonio_00001__house_mask.png
25,Hidarnes,Persia,250_Hidarnes_00001_.png,250_Hidarnes_00001__house_mask.png
26,Demaratos,Persia,260_Demaratos_00001_.png,260_Demaratos_00001__house_mask.png
27,Artaxerxes,Persia,270_Artaxerxes_00001_.png,270_Artaxerxes_00001__house_mask.png
28,Artafernes,Persia,280_Artafernes_00001_.png,280_Artafernes_00001__house_mask.png
29,Ephialtes,Persia,290_Ephialtes_00001_.png,290_Ephialtes_00001__house_mask.png
30,Megistias,Persia,300_Megistias_00001_.png,300_Megistias_00001__house_mask.png
31,Amintas I,Macedonia,310_Amintas_I_00001_.png,310_Amintas_I_00001__house_mask.png
32,Cassander,Macedonia,320_Cassander_00001_.png,320_Cassander_00001__house_mask.png
33,Parmenion,Macedonia,330_Parmenion_00001_.png,330_Parmenion_00001__house_mask.png
34,Perdicas,Macedonia,340_Perdicas_00001_.png,340_Perdicas_00001__house_mask.png
35,Crateros,Macedonia,350_Crateros_00001_.png,350_Crateros_00001__house_mask.png
36,Antigone,Macedonia,360_Antigone_00001_.png,360_Antigone_00001__house_mask.png
37,Attalus,Macedonia,370_Attalus_00001_.png,370_Attalus_00001__house_mask.png
38,Eurydice,Macedonia,380_Eurydice_00001_.png,380_Eurydice_00001__house_mask.png
39,Aristoteles,Macedonia,390_Aristoteles_00001_.png,390_Aristoteles_00001__house_mask.png
40,Agathon,Macedonia,400_Agathon_00001_.png,400_Agathon_00001__house_mask.png
41,Rhesus,Thrace,410_Rhesus_00001_.png,410_Rhesus_00001__house_mask.png
42,Peiros,Thrace,420_Peiros_00001_.png,420_Peiros_00001__house_mask.png
43,Sitalces,Thrace,430_Sitalces_00001_.png,430_Sitalces_00001__house_mask.png
44,Acamas,Thrace,440_Acamas_00001_.png,440_Acamas_00001__house_mask.png
45,Teres I,Thrace,450_Teres_I_00001_.png,450_Teres_I_00001__house_mask.png
46,Amadocus,Thrace,460_Amadocus_00001_.png,460_Amadocus_00001__house_mask.png
47,Democritus,Thrace,470_Democritus_00001_.png,470_Democritus_00001__house_mask.png
48,Orpheus,Thrace,480_Orpheus_00001_.png,480_Orpheus_00001__house_mask.png
49,Philomela,Thrace,490_Philomela_00001_.png,490_Philomela_00001__house_mask.png
50,Procne,Thrace,500_Procne_00001_.png,500_Procne_00001__house_mask.png
51,Pyrrhus,Epirus,510_Pyrrhus_00001_.png,510_Pyrrhus_00001__house_mask.png
52,Glaukias,Epirus,520_Glaukias_00001_.png,520_Glaukias_00001__house_mask.png
53,Cleitus,Epirus,530_Cleitus_00001_.png,530_Cleitus_00001__house_mask.png
54,Aeacides,Epirus,540_Aeacides_00001_.png,540_Aeacides_00001__house_mask.png
55,Phylotas,Epirus,550_Phylotas_00001_.png,550_Phylotas_00001__house_mask.png
56,Alcetas II,Epirus,560_Alcetas_II_00001_.png,560_Alcetas_II_00001__house_mask.png
57,Beroea,Epirus,570_Beroea_00001_.png,570_Beroea_00001__house_mask.png
58,Pythia,Epirus,580_Pythia_00001_.png,580_Pythia_00001__house_mask.png
59,Sibyl,Epirus,590_Sibyl_00001_.png,590_Sibyl_00001__house_mask.png
60,Phthia,Epirus,600_Phthia_00001_.png,600_Phthia_00001__house_mask.png
61,Agron,Illyria,610_Agron_00001_.png,610_Agron_00001__house_mask.png
62,Teuta,Illyria,620_Teuta_00001_.png,620_Teuta_00001__house_mask.png
63,Andolesse,Illyria,630_Andolesse_00001_.png,630_Andolesse_00001__house_mask.png
64,Gentius,Illyria,640_Gentius_00001_.png,640_Gentius_00001__house_mask.png
65,Triteuta,Illyria,650_Triteuta_00001_.png,650_Triteuta_00001__house_mask.png
66,Demetrius,Illyria,660_Demetrius_00001_.png,660_Demetrius_00001__house_mask.png
67,Scerdilaidas,Illyria,670_Scerdilaidas_00001_.png,670_Scerdilaidas_00001__house_mask.png
68,Pinneus,Illyria,680_Pinneus_00001_.png,680_Pinneus_00001__house_mask.png
69,Agranalzar,Illyria,690_Agranalzar_00001_.png,690_Agranalzar_00001__house_mask.png
70,Etuta,Illyria,700_Etuta_00001_.png,700_Etuta_00001__house_mask.png
71,Hector,Miletus,710_Hector_00001_.png,710_Hector_00001__house_mask.png
72,Thales,Miletus,720_Thales_00001_.png,720_Thales_00001__house_mask.png
73,Minos,Miletus,730_Minos_00001_.png,730_Minos_00001__house_mask.png
74,Leucippus,Miletus,740_Leucippus_00001_.png,740_Leucippus_00001__house_mask.png
75,Anaximander,Miletus,750_Anaximander_00001_.png,750_Anaximander_00001__house_mask.png
76,Isidore,Miletus,760_Isidore_00001_.png,760_Isidore_00001__house_mask.png
77,Pittacus,Miletus,770_Pittacus_00001_.png,770_Pittacus_00001__house_mask.png
78,Aspasia,Miletus,780_Aspasia_00001_.png,780_Aspasia_00001__house_mask.png
79,Cleobus,Miletus,790_Cleobus_00001_.png,790_Cleobus_00001__house_mask.png
80,Nizegor,Miletus,800_Nizegor_00001_.png,800_Nizegor_00001__house_mask.png
81,Apollo,Neutral,810_Apollo_00001_.png,
82,Perses,Neutral,820_Perses_00001_.png,
83,Caliope,Neutral,830_Caliope_00001_.png,
84,Kleio,Neutral,840_Kleio_00001_.png,
85,Euterpe,Neutral,850_Euterpe_00001_.png,
86,Talia,Neutral,860_Talia_00001_.png,
87,Melpomene,Neutral,870_Melpomene_00001_.png,
88,Terpsicore,Neutral,880_Terpsicore_00001_.png,
89,Erato,Neutral,890_Erato_00001_.png,
90,Polimnia,Neutral,900_Polimnia_00001_.png,
91,Urania,Neutral,910_Urania_00001_.png,
